id,depo,distance,centroidX,centroidY,centroidZ
m01,0.948373,7.695191734,9.96179,13.4301,11.7034
m01,2.01709,4.09939836,11.472,14.7272,15.5944
m01,1.48473,3.541163886,9.77103,11.8454,15.6255
m01,1.83739,2.887362609,10.5259,12.1257,16.3234
m01,1.21242,6.266057307,9.40415,10.6315,12.5976
m01,1.15347,4.032298857,11.1109,7.97777,14.2559
m01,1.15308,7.29449435,8.54249,13.4208,12.1672
m01,1.02589,2.287155832,12.2707,9.08745,16.2286
m01,1.99969,0.841830604,12.7427,11.616,18.2206
m01,1.57503,7.204095602,9.65378,15.3747,12.6273
m01,2.23318,1.671786541,11.4179,11.9021,17.4843
m01,1.32071,6.105855008,8.9499,12.4039,13.1526
m01,1.37258,8.242179513,8.71082,14.1375,11.3423
m01,1.245,5.428935562,9.01824,10.9585,13.5378
m01,1.29902,3.793417104,12.8669,14.8311,15.8742
m01,1.23463,4.05216591,9.81692,10.8169,14.8845
m01,1.07418,10.58099907,8.77769,15.7526,9.28789
m01,1.2527,2.820558691,12.4678,11.8401,16.255
m01,0.942412,3.855610962,11.8835,10.5295,14.9435
m01,1.59253,5.143787152,9.08633,12.9817,14.2528
m01,1.13661,2.903712352,10.9309,9.6697,15.7735
m01,1.41296,0.91501494,13.5718,10.4129,17.8597
m01,0.694265,2.205865268,13.1525,7.81311,16.0086
m01,1.99212,6.114124002,10.3329,15.0246,13.6415
m01,1.15455,4.815076405,11.0282,11.1369,14.1239
m01,1.80377,4.157373437,10.3976,14.4367,15.5163
m01,1.20762,3.907425242,10.9675,9.23442,14.6539
m01,1.3719,5.845910257,12.6352,15.6428,13.9552
m01,1.27707,9.366038918,9.08138,15.4271,10.4499
m01,2.11496,5.271231991,10.6943,15.0086,14.4859
m01,1.30424,8.825389828,9.78475,15.5383,10.9985
m01,0.454601,6.166050748,11.3997,12.5234,13.0196
m01,1.25681,5.868316652,10.1391,11.4393,13.1455
m01,0.84098,1.132745911,14.1643,9.54456,17.4308
m01,1.25925,5.092793633,10.6206,10.299,13.6795
m01,0.698184,4.008932041,12.3659,12.9642,15.2804
m01,1.96329,2.088300972,11.0371,11.2081,16.9272
m01,1.33584,6.235185582,8.65138,13.4685,13.2563
m01,1.2081,4.307545289,9.68054,10.0253,14.462
m01,2.01512,5.425933011,9.77111,14.7109,14.3014
m01,1.62094,6.026958239,9.21012,14.3146,13.6254
m01,1.02427,4.798839335,10.5589,7.98997,13.4963
m01,1.78298,2.477721868,12.6041,12.6633,16.7736
m01,1.78192,4.013982798,10.8204,12.139,15.1624
m01,0.942321,3.00590617,13.1026,13.8558,16.4649
m01,0.805257,9.654015839,10.8889,16.1607,10.2386
m01,1.12417,10.02633479,8.16539,14.8001,9.6787
m01,1.37748,3.720207201,10.4752,9.7844,14.9806
m01,0.667465,10.71353375,7.8017,14.5624,8.94019
m01,0.497748,6.991122104,9.10707,8.60056,11.4401
m01,1.20636,6.686990942,8.41434,11.0805,12.3007
m01,0.818307,8.565911455,10.032,13.8615,10.901
m01,0.932259,4.699788436,12.3111,8.67612,13.673
m01,0.785146,6.278066152,12.7975,12.3324,12.8097
m01,1.06491,6.750539758,14.3915,10.7585,11.9322
m01,1.10474,7.533120988,9.5151,8.59291,10.8681
m01,1.37749,6.950373013,12.4658,9.45042,11.5283
m01,0.682403,6.479135893,13.0526,5.70194,11.1977
m01,1.11613,4.765846119,12.3861,6.68179,13.1825
m01,0.862701,7.020339798,11.7606,12.8943,12.2098
m01,0.944338,3.165130633,14.2721,6.4426,14.6948
m01,0.412117,4.261916501,12.8889,10.6761,14.5192
m01,1.22639,6.355701527,11.873,10.7442,12.4323
m01,1.21512,6.310226222,14.0953,9.13788,12.0529
m01,1.22853,5.817006891,12.0309,8.54802,12.5145
m01,1.30117,6.732233325,13.4506,7.85321,11.3762
m01,1.08292,7.373441259,10.7231,11.6122,11.6196
m01,1.60275,6.426508275,16.1878,7.68641,11.5458
m01,0.806301,5.144981777,12.2764,10.0975,13.5184
m01,0.555241,5.292304345,16.8336,5.20729,12.1582
